Comment,Positive,Neutral,Negative,Sentiment,post_username
👏👏👏,0.9993628859519958,0.0001098104548873,0.0005273420829325,positive,jonyrahardja
@nila_riska rahasia😂😂😂,0.0005226727225817,0.000242981739575,0.9992343187332152,negative,jonyrahardja
@jonyrahardja kamsia ko,0.0132170477882027,0.0208288300782442,0.965954065322876,negative,jonyrahardja
@nila_riska enak bebeknya😂😂😂,0.994065523147583,0.0002667314256541,0.0056676943786442,positive,jonyrahardja
Alamatnya dimn ini?,0.0002788678684737,0.0004609142197296,0.9992602467536926,negative,jonyrahardja
@ambarinis9 opo iyoo say 🤭🤭,0.0118590807542204,0.9858874678611756,0.0022534185554832,neutral,jonyrahardja
@krist_ajjaahhh ho oh👏👏👏enak rasanya,0.9997007846832277,0.0001040491260937,0.0001952004240592,positive,jonyrahardja
@ambarinis9 👍👍,0.9995588660240172,0.0002090874477289,0.0002319940394954,positive,jonyrahardja
Rekomend & enak 👍,0.9997863173484802,6.265100091695786e-05,0.0001510435686213,positive,jonyrahardja
@mas_andhy23 best🔥,0.9795839190483092,0.0196419544517993,0.0007741187000647,positive,jonyrahardja
Parkiran mobil aman tp ko?,0.0029577047098428,0.0143276182934641,0.9827147126197816,negative,jonyrahardja
@liburanpertama aman pol🙌,0.9946854114532472,0.0049102930352091,0.0004042227810714,positive,jonyrahardja
Kok semua enakk ketokee.. Yummmi,0.9595937132835388,0.0008898677187971,0.0395164154469966,positive,jonyrahardja
@dhenok2323 jos tur sehat😍,0.6229028701782227,0.3033316433429718,0.0737655088305473,positive,jonyrahardja
"Terdebeeest ini,langganan 🤤🤤🤤",0.0046918643638491,0.9945520758628844,0.0007560478989034,neutral,jonyrahardja
@punya_dory_ceria wenak pol,0.1091081500053405,0.8220986127853394,0.0687932297587394,neutral,jonyrahardja
@jonyrahardja iyo ko...🤤🤤🤤,0.0174588654190301,0.9167026281356812,0.0658385828137397,neutral,jonyrahardja
"ketok enak kabeh , pen cobain 🤤",0.999460756778717,0.0002581344160716,0.0002810342411976,positive,jonyrahardja
@agustinaisme enak tur sehat,0.9997988343238832,8.871793397702277e-05,0.0001124829868786,positive,jonyrahardja
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,0.998127281665802,0.0012043213937431,0.0006682869279757,positive,jonyrahardja
@pusparisti finally yg ditunggu2 ya,0.0004038001061417,0.9993773102760316,0.0002189879596699,neutral,jonyrahardja
@pusparisti mantap 😍 bersyukur banget.. otw order nih kalo siang buka🔥,0.9990004897117616,0.0004679109260905,0.0005316333263181,positive,jonyrahardja
"Udah sempet nyobain ko, fresh bgt salad e",0.9995046854019164,0.0001808488595997,0.000314447650453,positive,jonyrahardja
@kokoatmadja enak beud ya,0.9992594122886658,0.0003678101929835,0.0003727442817762,positive,jonyrahardja
Enakjiii 🤤,0.1412801444530487,0.0012270066654309,0.8574928045272827,negative,jonyrahardja
@madebyandni enakk jii,0.9997150301933287,0.000120297569083,0.000164725803188,positive,jonyrahardja
👍,0.9996160268783568,8.293566497741267e-05,0.000300951563986,positive,jonyrahardja
@yauwkwokdjiang 👏🔥,0.0135570243000984,0.9850730299949646,0.0013699365081265,neutral,jonyrahardja
jd pgn mkn salad😮,0.0272256098687648,0.9701110124588012,0.0026634582318365,neutral,jonyrahardja
@traveler.noona mayo nya enak pol🙌,0.9991051554679872,0.0003743417037185,0.0005204615299589,positive,jonyrahardja
Rekomend banget si ini😍,0.999703586101532,6.361341365845874e-05,0.0002327438996871,positive,jonyrahardja
@vindamrlt te o pe be ge te,0.0003455005353316,0.9994593262672424,0.0001951363519765,neutral,jonyrahardja
Wahhh makanan sehat niii,0.9986138343811036,0.0001107978823711,0.0012752825859934,positive,jonyrahardja
@evelineaprilisa tob ini🙌,0.0011659531155601,0.995144546031952,0.0036895342636853,neutral,jonyrahardja
Wahhh sehat tapi enak kalo ini,0.9973424077033995,0.0001855212904047,0.0024720844812691,positive,jonyrahardja
@sijajanjalan my favorite,0.9637523889541626,0.0213020257651805,0.0149455480277538,positive,jonyrahardja
Ini enakkk banget dan recomend 🫶🏻🫶🏻🫶🏻🫶🏻🥴🥴,0.999761998653412,8.433335460722446e-05,0.0001536289637442,positive,jonyrahardja
@auroraaclaudya setuju 🔥,0.0071663218550384,0.9899588227272034,0.0028748894110322,neutral,jonyrahardja
Mantap.sueger saladnya 🔥🔥 @naniksuryanti2020,0.99949312210083,0.0002397823700448,0.0002671687107067,positive,jonyrahardja
@suegere.solo naknan😍,0.9180585145950316,0.0264044161885976,0.055537112057209,positive,jonyrahardja
Langganan iniii koo,0.558219313621521,0.0081072188913822,0.4336735308170318,positive,jonyrahardja
@brigittajulia wenak nan ya,0.9995754361152648,0.000152202337631,0.0002723418292589,positive,jonyrahardja
Yummy ko😍😍😍😍,0.999675750732422,7.944671233417466e-05,0.0002448256127536,positive,jonyrahardja
@idbagus7777 yummy poll,0.9991752505302428,0.000638268131297,0.0001863807119661,positive,jonyrahardja
Udah tau lama dari awal2 buka ko. Enak emang saladnya. Tp beberapa bulan terakhir belum kesana lagi.,0.991759955883026,0.0007130048470571,0.0075270663946866,positive,jonyrahardja
Wehhh enuk,0.0027698425110429,0.0001280455617234,0.9971020817756652,negative,jonyrahardja
@yosephinesawitri skuy cobain,0.8113178610801697,0.1876753568649292,0.0010068055707961,positive,jonyrahardja
Enaakk beudddddd dn sehatt,0.0134092466905713,0.9846534132957458,0.0019373623654246,neutral,jonyrahardja
@dekafrankie wajib bgt cobain🙌,0.999417781829834,0.0002816338965203,0.0003006268234457,positive,jonyrahardja
Enakkkj,0.0022158178035169,0.0001044246964738,0.9976797699928284,negative,jonyrahardja
@rumahkunosoloindonesia harus coba,0.0014515527291223,0.0088164508342742,0.9897319674491882,negative,jonyrahardja
Mwantaabbbbb,0.0009817398386076,0.0047676195390522,0.9942506551742554,negative,jonyrahardja
@dzanimufidah maknyuss,0.9951080679893494,0.0003783581487368,0.0045134602114558,positive,jonyrahardja
Favoritttt,0.0293476674705743,0.0005786480614915,0.9700736403465272,negative,jonyrahardja
@dahliasp tossss🙌,0.9996784925460817,0.0001137559302151,0.0002076640957966,positive,jonyrahardja
sukohardjo manakah?,0.0006075292476452,0.9966996312141418,0.0026928922161459,neutral,jonyrahardja
Dulu pernah kesini tp bukanya sore sedangkan klo sore suami ga bisa jadi kita cuma duduk bentar doank disitu wkkwkkk.. Btw seladanya mereka tanam sendiri di pekarangan rumah,0.1376472562551498,0.7427749633789062,0.1195777133107185,neutral,jonyrahardja
"Langganan ku ini, the besttt..",0.9987581968307496,0.0003831275389529,0.0008587049087509,positive,jonyrahardja
"Dah Beberapa kali ke Sana Ko, Cmn Wkt itu buka'nya sore jam 17.00 Skrg Kt'nya udh buka dr Siang. Next Gas Neh Ko... Soale Terfavo Byaat Hehehe...",0.997718095779419,0.0008648011717014,0.0014171028742566,positive,jonyrahardja
Recumended🙌,0.999057948589325,9.370112093165515e-05,0.0008482982520945,positive,jonyrahardja
"Sayang iklan saja, share loc ku datangi",0.0053091314621269,0.5762214064598083,0.418469488620758,neutral,jonyrahardja
Alamat nya mana,0.0179426204413175,0.011501838453114,0.9705556035041808,negative,jonyrahardja
Aku udah pernah kesini sama ayang 😍,0.9792754650115968,0.0146234519779682,0.0061011118814349,positive,jonyrahardja
