Comment,Sentiment
👏👏👏,baik
@nila_riska rahasia😂😂😂,buruk
@jonyrahardja kamsia ko,buruk
@nila_riska enak bebeknya😂😂😂,baik
Alamatnya dimn ini?,buruk
@ambarinis9 opo iyoo say 🤭🤭,buruk
@krist_ajjaahhh ho oh👏👏👏enak rasanya,baik
@ambarinis9 👍👍,buruk
Rekomend & enak 👍,baik
@mas_andhy23 best🔥,baik
Parkiran mobil aman tp ko?,buruk
@liburanpertama aman pol🙌,baik
Kok semua enakk ketokee.. Yummmi,baik
@dhenok2323 jos tur sehat😍,baik
"Terdebeeest ini,langganan 🤤🤤🤤",baik
@punya_dory_ceria wenak pol,baik
@jonyrahardja iyo ko...🤤🤤🤤,buruk
"ketok enak kabeh , pen cobain 🤤",baik
@agustinaisme enak tur sehat,baik
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,baik
@pusparisti finally yg ditunggu2 ya,baik
@pusparisti mantap 😍 bersyukur banget.. otw order nih kalo siang buka🔥,baik
"Udah sempet nyobain ko, fresh bgt salad e",baik
@kokoatmadja enak beud ya,buruk
Enakjiii 🤤,baik
@madebyandni enakk jii,baik
👍,baik
@yauwkwokdjiang 👏🔥,buruk
jd pgn mkn salad😮,baik
@traveler.noona mayo nya enak pol🙌,baik
Rekomend banget si ini😍,baik
@vindamrlt te o pe be ge te,baik
Wahhh makanan sehat niii,baik
@evelineaprilisa tob ini🙌,baik
Wahhh sehat tapi enak kalo ini,baik
@sijajanjalan my favorite,baik
Ini enakkk banget dan recomend 🫶🏻🫶🏻🫶🏻🫶🏻🥴🥴,baik
@auroraaclaudya setuju 🔥,baik
Mantap.sueger saladnya 🔥🔥 @naniksuryanti2020,baik
@suegere.solo naknan😍,buruk
Langganan iniii koo,buruk
@brigittajulia wenak nan ya,baik
Yummy ko😍😍😍😍,baik
@idbagus7777 yummy poll,baik
Udah tau lama dari awal2 buka ko. Enak emang saladnya. Tp beberapa bulan terakhir belum kesana lagi.,buruk
Wehhh enuk,buruk
@yosephinesawitri skuy cobain,buruk
Enaakk beudddddd dn sehatt,baik
@dekafrankie wajib bgt cobain🙌,baik
Enakkkj,baik
