Comment,Sentiment
👏👏👏,baik
Alamatnya dimn ini?,buruk
Rekomend & enak 👍,baik
Parkiran mobil aman tp ko?,buruk
Kok semua enakk ketokee.. Yummmi,baik
"Terdebeeest ini,langganan 🤤🤤🤤",baik
"ketok enak kabeh , pen cobain 🤤",baik
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,baik
"Udah sempet nyobain ko, fresh bgt salad e",baik
Enakjiii 🤤,baik
👍,baik
jd pgn mkn salad😮,baik
Rekomend banget si ini😍,baik
Wahhh makanan sehat niii,baik
Wahhh sehat tapi enak kalo ini,baik
Ini enakkk banget dan recomend 🫶🏻🫶🏻🫶🏻🫶🏻🥴🥴,baik
Mantap.sueger saladnya 🔥🔥 @naniksuryanti2020,baik
Langganan iniii koo,buruk
Yummy ko😍😍😍😍,baik
Udah tau lama dari awal2 buka ko. Enak emang saladnya. Tp beberapa bulan terakhir belum kesana lagi.,buruk
Wehhh enuk,buruk
Enaakk beudddddd dn sehatt,baik
Enakkkj,baik
Mwantaabbbbb,buruk
Favoritttt,baik
sukohardjo manakah?,baik
Dulu pernah kesini tp bukanya sore sedangkan klo sore suami ga bisa jadi kita cuma duduk bentar doank disitu wkkwkkk.. Btw seladanya mereka tanam sendiri di pekarangan rumah,baik
"Langganan ku ini, the besttt..",baik
"Dah Beberapa kali ke Sana Ko, Cmn Wkt itu buka'nya sore jam 17.00 Skrg Kt'nya udh buka dr Siang. Next Gas Neh Ko... Soale Terfavo Byaat Hehehe...",baik
Recumended🙌,baik
"Sayang iklan saja, share loc ku datangi",buruk
Alamat nya mana,baik
Aku udah pernah kesini sama ayang 😍,baik
udah bukak pagi ya kak sekarang..?😍,buruk
Ini fav aku,baik
Seger seger banget menu nya,baik
Ini kenyang bngt wlo sayur,buruk
Seger ijoo 💚💚💚,baik
Yummy,baik
Ki ancen tob pol,buruk
Wenak 😍😍,baik
Beneran enak sih 🔥🔥,baik
Kesini yok 😢 @zilizi16,buruk
Uenak nya,buruk
Sehat teninnn cocok buat diet,baik
Cocok nih 😍,baik
"Sdh Beberapa Kali ke Sana, Cmn Sayang'nya buka'nya Sore. Berharap Buka dr Siang 🤭",baik
"Menunya Enak2 dan semua fresh🫶🏻, aku sudah pernah nyoba.. yang punya bocil ada playgroundnya juga❤️",baik
Wah penasaran pol save dlu,baik
spill harga2 kk,buruk
Enak semuanya🤤,baik
The bestt...udh pernah nyobain❤️,baik
Salad nya best,baik
Ngiler,buruk
Baguss banget tempatnyaaa🔥,baik
